style_id,style_category,type,ember_compatibility,ember_adaptation,ember_notes
19,Soft UI Evolution,General,adapted,Use surface layering (surface-1/2/3) instead of soft shadows; keep subtle depth,Dark soft UI with surface vars. Replace light pastels with Ember surface tokens. Subtle border instead of soft glow.
20,Hero-Centric Design,Landing Page,compatible,Use HeroPane component as dominant first element,Core Ember composition pattern. Hero pane is always the dominant element. Syne at display scale for hero copy.
21,Conversion-Optimized,Landing Page,compatible,Amber CTA only; one primary CTA per viewport section,Compatible with restraint. Single amber button per section. No competing CTAs. Clear hierarchy to action.
22,Feature-Rich Showcase,Landing Page,adapted,Use ServiceList for features; avoid equal-weight card grids,Avoid 3-col equal-weight grid. Use ServiceList with hierarchy. IBM Plex Mono for spec data. Syne for feature names.
23,Minimal & Direct,Landing Page,compatible,Use with Ember restraint; single amber CTA,"Native Ember landing pattern. Minimal copy, clear hierarchy, one action per section."
24,Social Proof-Focused,Landing Page,compatible,Use TestimonialRail component; IBM Plex Mono for metrics,Compatible. TestimonialRail component purpose-built. IBM Plex Mono for stat numbers. Amber for featured testimonial.
25,Interactive Product Demo,Landing Page,adapted,Use HeroPane with embed; filament sweep on demo load,Interactive element must not compete with amber accent. Filament sweep on load state. Minimal chrome around demo.
26,Trust & Authority,Landing Page,compatible,Use AuthorityHero + TeamGrid; restraint principle dominant,Core Ember pattern for professional services. AuthorityHero component + StatsCard for credentials.
27,Storytelling-Driven,Landing Page,adapted,Use composition principle; no scroll-jacking or parallax,"Story through layout hierarchy, not animation. Syne for narrative headlines. No decorative scroll effects."
28,Data-Dense Dashboard,BI/Analytics,compatible,Use DataTable + KPIStrip; IBM Plex Mono for all data,Native Ember dashboard pattern. Dense data on dark bg with IBM Plex Mono. Surface vars for hierarchy.
29,Heat Map & Heatmap Style,BI/Analytics,adapted,Use color-as-information principle; limit to amber/green/red spectrum,"Color encoding must use Ember token palette. No rainbow heatmaps. Use amber=medium, red=critical, green=good."
30,Executive Dashboard,BI/Analytics,compatible,Use KPIStrip + StatsCard; Syne for KPI labels,"Native Ember dashboard. KPIStrip component built for this. Syne for metric names, IBM Plex Mono for values."
31,Real-Time Monitoring,BI/Analytics,compatible,Filament sweep on live data; breathing border on active streams,Core Ember pattern. Filament sweep indicates live data loading. Breathing border on active monitors.
32,Drill-Down Analytics,BI/Analytics,compatible,Use DataTable + ActivityFeed with expandable rows,Compatible. DataTable with drill-down states. IBM Plex Mono for all metric values.
33,Comparative Analysis Dashboard,BI/Analytics,compatible,Use DataTable with delta indicators; color-as-information for deltas,IBM Plex Mono for comparison values. Green/red for positive/negative deltas. No rainbow comparison bars.
34,Predictive Analytics,BI/Analytics,adapted,Use DataTable + StatsCard; amber for uncertainty/confidence markers,No decorative data viz. IBM Plex Mono for model outputs. Amber for confidence intervals or predictions to watch.
35,User Behavior Analytics,BI/Analytics,compatible,Use ActivityFeed + DataTable; breathing border on live user sessions,Native Ember dashboard. ActivityFeed for events. Breathing border on active user count.
36,Financial Dashboard,BI/Analytics,compatible,IBM Plex Mono for all numbers; green/red strict for delta only,"Native Ember pattern. Strict color-as-information. Amber for account alerts, never for decorative purposes."
37,Sales Intelligence Dashboard,BI/Analytics,compatible,Use KPIStrip + DataTable + ActivityFeed; amber for pipeline focus items,Ember authority + data. IBM Plex Mono for deal values. Amber on deals needing attention.
38,Neubrutalism,General,compatible,"Use with Syne bold, stark borders, amber on black; no softening","Strong Ember alignment. Hard-edged, high contrast. Use var(--color-accent) as the brutal accent. Borders as structure."
39,Bento Box Grid,General,adapted,Use with hierarchy; hero cell must be dominant; no equal-weight bento,"Structure is compatible, but cells must have clear visual hierarchy. One dominant cell, others recede. No equal-weight grid."
40,Y2K Aesthetic,General,incompatible,Use Retro-minimal or Flat Design instead,Chrome gradients and pixelated aesthetics conflict with Ember principles. Replace with dark retro-minimal.
41,Cyberpunk UI,General,adapted,Use IBM Plex Mono + dark OLED + amber; remove neon blue/purple/green,Structure and dark palette align. Replace neon palette with amber-only accent. IBM Plex Mono for terminal-style data.
42,Organic Biophilic,General,incompatible,Use Nature Distilled or clean minimal with natural photo only,Organic textures and earthy greens conflict with Ember dark precision. Replace with clean dark + strategic nature photography.
43,AI-Native UI,General,compatible,Use filament sweep for AI generation states; IBM Plex Mono for outputs,Strong Ember alignment. Filament sweep for streaming outputs. Amber for AI action triggers. No purple AI clichés.
44,Memphis Design,General,incompatible,Use Brutalism or Neubrutalism instead,Rainbow geometric patterns conflict with Ember one-accent rule. Replace with single amber geometric accent on dark.
45,Vaporwave,General,incompatible,Use Dark Futurist or adapted Cyberpunk (amber-only) instead,Purple/cyan/pink palette fundamentally incompatible with Ember. No adaptation path.
46,Dimensional Layering,General,compatible,Use surface-1/2/3 tokens for depth; no decorative shadows,Native Ember depth system. Surface tokens create layering without fake shadows. Z-index hierarchy.
47,Exaggerated Minimalism,General,compatible,"Core Ember expression; large Syne at display scale, vast whitespace","Strongest Ember alignment possible. Large type, dark canvas, single amber moment. Restraint principle embodied."
48,Kinetic Typography,General,adapted,"Use only for state changes, not decoration; Syne for animated text","Typography motion must communicate state (loading, updating). Remove purely decorative kinetic elements. Syne for animated display text."
49,Parallax Storytelling,General,incompatible,Use composition-based storytelling without scroll-jacking,Parallax conflicts with Ember motion principles. Motion = state only. Replace with layout-based narrative hierarchy.
50,Swiss Modernism 2.0,General,compatible,Use grid-based composition with Syne + IBM Plex Mono; dark version,"Excellent Ember alignment. Grid structure, typographic hierarchy, functional design. Apply dark Ember palette."
51,HUD / Sci-Fi FUI,General,adapted,Use IBM Plex Mono + amber for HUD elements; remove neon palette,Dark OLED and mono font align. Replace neon accents with amber-only. Filament sweep on scanning/loading states.
52,Pixel Art,General,incompatible,Use Brutalism or Neubrutalism instead,Pixel art aesthetic requires specific rendering that conflicts with Ember principles. No adaptation path.
53,Bento Grids,General,adapted,Same as Bento Box Grid (#39); hierarchy required; no equal-weight cells,See style 39. Apply same Ember hierarchy rules. One dominant cell per bento grid section.
55,Spatial UI (VisionOS),General,adapted,Use glass sparingly (one panel); amber for spatial focal points,"Glass panels can work if limited to one per viewport. Ember spatial layer uses surface vars, not raw blur."
56,E-Ink / Paper,General,adapted,Apply dark-mode inversion; use --color-bg as paper base with high contrast,"The minimalism and typography focus align. Invert to dark: var(--color-bg) as dark paper, var(--color-text) at high contrast."
57,Gen Z Chaos / Maximalism,General,incompatible,Use Neubrutalism as structured alternative,Fundamentally incompatible with Ember restraint. One accent per viewport rule eliminates maximalism.
58,Biomimetic / Organic 2.0,General,incompatible,Use Nature Distilled with Ember tokens instead,Organic shapes and natural textures conflict with Ember precision. Use strategic nature photography on clean dark base.
59,Anti-Polish / Raw Aesthetic,General,adapted,Use Neubrutalism structure; stark but not broken; amber as single raw accent,"Raw aesthetic can work with Ember if structured. Neubrutalism rules: hard edges, Syne bold, amber-only."
60,Tactile Digital / Deformable UI,General,incompatible,Use flat interaction states + micro-interactions (200ms max) instead,"Physical deformation effects conflict with Ember motion principles. State feedback only, no decorative deformation."
61,Nature Distilled,General,adapted,Use clean dark base with strategic nature photography; no earthy palette tokens,"Natural imagery on dark editorial base works. Apply Ember tokens for all UI elements, nature only in photography."
62,Interactive Cursor Design,General,adapted,Single custom cursor; no cursor trail; amber for cursor accent state,Custom cursor aligned if minimal. No trailing particles. Amber dot cursor on hover of primary interactive element.
63,Voice-First Multimodal,General,adapted,Filament sweep for voice processing states; amber for active listening indicator,Motion principles apply. Filament sweep on voice processing. Breathing border on active listening mode.
64,3D Product Preview,General,adapted,Embed 3D viewer in HeroPane; amber for rotate/interact CTA; minimal surrounding UI,3D product in hero is compatible if contained. Surrounding UI follows Ember restraint. No competing 3D elements.
65,Gradient Mesh / Aurora Evolved,General,adapted,Amber-to-transparent gradient only; no multi-hue mesh,"Multi-hue aurora incompatible. If gradient used: amber (#F5A623) to transparent, one occurrence, below hero fold."
66,Editorial Grid / Magazine,General,compatible,Use composition principle with Syne for editorial headings,Strong Ember alignment. Editorial composition is a core pattern. Syne at display scale for article titles.
67,Chromatic Aberration / RGB Split,General,incompatible,Use subtle glow effect (amber only) or no effect instead,RGB split requires multiple accent colors. Incompatible with one-accent rule. Replace with subtle amber glow on hover.
68,Vintage Analog / Retro Film,General,adapted,Use dark editorial base + grain texture (subtle); amber as vintage warmth; IBM Plex Mono for metadata,"Dark film grain can work. Use very subtle grain texture, amber as vintage warmth, IBM Plex Mono for metadata captions."
69,Bauhaus (包豪斯),Mobile,compatible,"Use with Syne for display, geometric grid, amber as single Bauhaus accent color","Excellent Ember alignment. Bauhaus principles: typography, geometry, single primary color (amber). Dark base version."
70,Minimalist Monochrome,Mobile,compatible,Use var(--color-bg) to var(--color-text) spectrum; amber for single accent,Core Ember mobile expression. Monochrome dark with single amber moment. Syne + IBM Plex Mono.
71,Modern Dark (Cinema Mobile),Mobile,compatible,"Native Ember mobile pattern; full-bleed dark, Syne, amber CTA","Most direct Ember mobile style. Full-bleed dark canvas, Syne at display scale, amber action."
72,SaaS Mobile (High-Tech Boutique),Mobile,compatible,"Use with KPIStrip, IBM Plex Mono, amber for upgrade CTAs",Strong Ember alignment. Data-forward mobile layout with IBM Plex Mono. Amber on upsell/upgrade.
73,Terminal CLI (Mobile),Mobile,compatible,IBM Plex Mono dominant; amber for command prompt cursor; dark OLED base,Native Ember technical aesthetic. IBM Plex Mono at full scale. Amber for active prompt/output.
74,Kinetic Brutalism (Mobile),Mobile,adapted,Use Syne bold + stark borders; remove scroll-driven animations; amber as brutal accent,Brutalism structure aligns. Remove kinetic/scroll elements conflicting with motion-as-state rule. Amber-only accent.
75,Flat Design Mobile (Touch-First),Mobile,compatible,Use surface tokens for touch targets; amber for primary touch CTA,Native Ember mobile base. Surface vars for hierarchy. 44px minimum touch target. Amber on primary action.
76,Material You (MD3 Mobile),Mobile,adapted,Use Ember tokens instead of Material color system; keep dynamic sizing; remove color extraction,Adaptive sizing and motion principles can be borrowed. Replace Material color system entirely with Ember tokens.
77,Neo Brutalism (Mobile),Mobile,compatible,Use with Syne bold + stark borders + amber accent; dark OLED base,"Strong Ember mobile alignment. Hard edges, high contrast Syne, amber-only. Dark background natural."
78,Bold Typography (Mobile Poster),Mobile,compatible,Syne 800 at max scale; amber for featured word/phrase; dark canvas,Core Ember mobile expression. Syne at maximum weight and scale. Single amber text highlight.
79,Academia (Scholarly Mobile),Mobile,adapted,Use IBM Plex Mono for body; Syne for section titles; remove serif fonts,Academic structure aligns but typography must convert. No serif fonts in Ember. IBM Plex Mono + Syne replaces.
80,Cyberpunk Mobile HUD,Mobile,adapted,IBM Plex Mono + dark OLED + amber only; remove neon blue/green/purple,Dark HUD structure aligns. Replace neon palette with amber-only. IBM Plex Mono for all HUD data.
81,Bitcoin DeFi (Mobile),Mobile,adapted,IBM Plex Mono for wallet/price data; amber for highlighted values; remove neon,Financial data display aligns. IBM Plex Mono for crypto data. Amber for prices/alerts. No neon accent overload.
82,Claymorphism (Mobile),Mobile,incompatible,Use flat surface-var elevation (surface-1/2/3) instead,Clay pastel elements incompatible with Ember dark. Replace with surface token hierarchy.
83,Enterprise SaaS (Mobile),Mobile,compatible,"Native Ember professional pattern; IBM Plex Mono for data, Syne for nav","Direct Ember mobile alignment. Dark professional base, data-forward, amber for premium/upgrade actions."
84,Sketch Hand-Drawn (Mobile),Mobile,incompatible,Use Neubrutalism (structured raw aesthetic) instead,Hand-drawn textures incompatible with Ember precision. Replace with raw but structured neubrutalism.
85,Neumorphism (Mobile),Mobile,incompatible,Use flat surface elevation (surface-1/2/3) instead,Same as desktop neumorphism. Light backgrounds required. Replace with dark surface layering.
