category_id,product_type,ember_primary_principle,ember_components,ember_css_tokens,ember_composition,ember_anti_patterns,ember_notes
11,Portfolio/Personal,typography,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--font-display,--color-text,--color-text-muted,--color-surface-1",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no busy layouts;no multiple accent colors;no stock imagery feel,Typographically-led. Syne at large scales. Minimal structure. Amber on primary CTA only.
12,Gaming,motion,"HeroPane,KPIStrip,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + KPIStrip + ActivityFeed + StatsCard,no pastels;no corporate layouts;no serif fonts,Dark OLED base. Amber accent for achievements/XP. Filament sweep on level-up states.
13,Government/Public Service,restraint,"AuthorityHero,StatsCard,ServiceList,DataTable,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",AuthorityHero + StatsCard + ServiceList + DataTable + ContactForm,no flashy animations;no brand-heavy colors;no inaccessible contrast,"Accessible dark. WCAG AAA target. Syne for headings, no decorative elements."
14,Fintech/Crypto,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no decorative colors;no slow animations;no vaporwave palette,IBM Plex Mono for prices. Green/red for delta. Amber for alerts. Real-time filament sweep.
15,Social Media App,motion,"HeroPane,ActivityFeed,StatsCard,TestimonialRail,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ActivityFeed + StatsCard + TestimonialRail,no notification overload;no rainbow badges;no decorative scroll effects,Breathing border on live feed items. Filament sweep on load. Amber for important notifications only.
16,Productivity Tool,restraint,"HeroPane,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-mono,--color-text-muted",HeroPane + KPIStrip + DataTable + ActivityFeed,no visual clutter;no decorative chrome;no competing visual weights,Minimal UI. IBM Plex Mono for data. Amber only for due/overdue states. Clean grid.
17,Design System/Component Library,composition,"HeroPane,DataTable,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + ServiceList + DataTable + FooterBlock,no inconsistent tokens;no hardcoded hex;no mixed type scales,Token-first documentation. IBM Plex Mono for code. Amber for interactive examples.
18,AI/Chatbot Platform,motion,"HeroPane,ActivityFeed,KPIStrip,StatsCard,PricingCard","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + ActivityFeed + KPIStrip + PricingCard,no spinner abuse;no purple-on-dark gradients;no generic robot iconography,Filament sweep as typing indicator. Breathing border on active chat. IBM Plex Mono for outputs.
19,NFT/Web3 Platform,color-as-information,"HeroPane,ProductGrid,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ProductGrid + StatsCard + ActivityFeed,no rainbow gradients;no vaporwave aesthetics;no multiple accents,Dark OLED. Amber for price/bid signals. IBM Plex Mono for wallet addresses. Clean grid.
20,Creator Economy Platform,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,PricingCard","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail + PricingCard,no cluttered dashboard;no multiple highlight colors;no generic avatars,Syne for creator names/headlines. KPIStrip shows earnings/audience. Amber on upgrade CTA.
21,Remote Work/Collaboration Tool,motion,"HeroPane,ActivityFeed,KPIStrip,TeamGrid,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + ActivityFeed + KPIStrip + TeamGrid,no alert-heavy design;no notification badges on everything;no consumer feel,Breathing border on active collaborators. Filament sweep on sync states. Amber for unread.
22,Mental Health App,restraint,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no alarming reds;no aggressive CTAs;no fast animations;no busy layouts,Calm dark palette. Slow transitions only. Amber used only for positive progress moments.
23,Pet Tech App,typography,"HeroPane,ServiceList,StatsCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + StatsCard + TestimonialRail,no childish palettes;no cartoon overload;no generic stock photos,Warm dark palette. Syne for key moments. IBM Plex Mono for pet metrics. One amber CTA.
24,Smart Home/IoT Dashboard,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no decorative colors;no slow updates;no cluttered sensor grid,"Color = device status. Green=ok, amber=warning, red=critical. IBM Plex Mono for readings."
25,EV/Charging Ecosystem,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",KPIStrip + DataTable + ActivityFeed + StatsCard,no decorative environmental graphics;no slow dashboards;no consumer green-washing,IBM Plex Mono for energy data. Amber for charging alerts. Green for fully charged states.
26,Subscription Box Service,color-as-information,"HeroPane,ProductGrid,PricingCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-success,--color-surface-1,--color-surface-2,--font-display",HeroPane + ProductGrid + PricingCard + TestimonialRail,no pastel overload;no multiple accent colors;no soft UI on dark bg,Dark base with warm amber highlight. Product grid disciplined. One amber purchase CTA.
27,Podcast Platform,typography,"HeroPane,ServiceList,ActivityFeed,TestimonialRail,NavBar","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ActivityFeed + ServiceList + TestimonialRail,no waveform decoration;no rainbow genre tags;no generic audio player UI,Editorial. Syne for episode titles. IBM Plex Mono for duration/stats. Amber for new episodes.
28,Dating App,typography,"HeroPane,TestimonialRail,ServiceList,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no cliché hearts;no pink overload;no consumer-app look,Warm editorial dark. Syne display. Minimal profile cards. One amber match/action moment.
29,Micro-Credentials/Badges Platform,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,PricingCard","--color-bg,--color-accent,--color-success,--color-surface-1,--font-display,--font-mono",HeroPane + ServiceList + KPIStrip + TestimonialRail + PricingCard,no badge clutter;no gamification overload;no confetti animations,IBM Plex Mono for completion stats. Amber for featured credentials. Syne for course names.
30,Knowledge Base/Documentation,restraint,"HeroPane,DataTable,ServiceList,NavBar,FooterBlock","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-mono,--color-text-muted",HeroPane + ServiceList + DataTable + FooterBlock,no decorative elements;no multiple font families;no ambiguous navigation,IBM Plex Mono for code blocks. Syne for section headings. Amber for key callouts.
31,Hyperlocal Services,composition,"HeroPane,ServiceList,StatsCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",HeroPane + ServiceList + StatsCard + TestimonialRail + ContactForm,no consumer-map cliché;no rainbow service tags;no busy local search UI,Community-focused dark. Syne for location/service names. Amber on Book Now CTA.
32,Beauty/Spa/Wellness Service,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no pastel pink clichés;no floral decorations;no soft bubble UI,Luxe dark editorial. Syne at large scale for treatment names. Amber on Book CTA.
33,Luxury/Premium Brand,restraint,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no visual clutter;no multiple colors;no cheap animations,Maximum restraint. Dark canvas. Syne at editorial scale. Amber touched only once.
34,Restaurant/Food Service,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no food-photo clichés;no garish menu colors;no clipart-style icons,Dark editorial. Syne for dish/menu section names. Amber on Reserve CTA. Minimal copy.
35,Fitness/Gym App,motion,"HeroPane,KPIStrip,StatsCard,ActivityFeed,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + KPIStrip + StatsCard + ActivityFeed,no neon green overload;no aggressive red;no stock gym photos as decoration,IBM Plex Mono for reps/weight/time. Amber on goal-hit events. Filament sweep on active workout.
36,Real Estate/Property,composition,"AuthorityHero,StatsCard,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",AuthorityHero + ServiceList + StatsCard + TeamGrid + ContactForm,no stock house photos as hero;no blue corporate palette;no busy map widget,Authority composition. Syne for property names. IBM Plex Mono for price/sqft data.
37,Travel/Tourism Agency,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no tropical clichés;no cheap carousel of destinations;no consumer-travel look,Dark editorial. Syne for destination names at display scale. Amber on Book Now CTA.
38,Hotel/Hospitality,restraint,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no resort-template clichés;no multiple accent colors;no carousel overload,Luxury dark editorial. Syne for room/amenity names. Amber on Book CTA. Minimal copy.
39,Wedding/Event Planning,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no pastel overload;no script font excess;no lace/floral decoration,Dark editorial with warm amber. Syne for event names. Restrained layout. Single CTA.
40,Legal Services,restraint,"AuthorityHero,StatsCard,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",AuthorityHero + StatsCard + ServiceList + TeamGrid + ContactForm,no aggressive CTAs;no flashy animations;no consumer palette,Maximum authority. Dark base. Syne for practice areas. Amber only on Contact CTA.
41,Insurance Platform,restraint,"AuthorityHero,StatsCard,ServiceList,DataTable,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",AuthorityHero + StatsCard + ServiceList + DataTable + ContactForm,no alarming colors without context;no jargon-heavy layouts;no multiple CTAs,Trust-first. IBM Plex Mono for policy numbers/premiums. Amber on Get Quote CTA.
42,Banking/Traditional Finance,restraint,"AuthorityHero,KPIStrip,DataTable,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-surface-1,--font-mono",AuthorityHero + KPIStrip + DataTable + StatsCard,no consumer-bank palette;no slow animations;no inaccessible contrast,IBM Plex Mono for all financial data. Amber for account alerts only. WCAG AAA target.
43,Online Course/E-learning,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,PricingCard","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail + PricingCard,no childish palette;no video-thumbnail carousel abuse;no generic course UI,Syne for course titles. IBM Plex Mono for lesson counts/durations. Amber on Enroll CTA.
44,Non-profit/Charity,typography,"HeroPane,StatsCard,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + StatsCard + ServiceList + TestimonialRail + ContactForm,no guilt-trip imagery;no multiple donation CTAs;no consumer palette,Story-led dark editorial. Syne for impact headlines. IBM Plex Mono for donation stats.
45,Music Streaming,motion,"HeroPane,ActivityFeed,ServiceList,KPIStrip,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ActivityFeed + ServiceList + KPIStrip,no consumer-streaming clichés;no rainbow genre labels;no busy waveforms,Dark OLED. Filament sweep on playback. Breathing border on now-playing. Amber for new releases.
46,Video Streaming/OTT,motion,"HeroPane,ActivityFeed,ServiceList,KPIStrip,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ActivityFeed + ServiceList + KPIStrip,no thumbnail overload;no generic streaming UI;no red-on-black brand copy,Full-bleed dark. Amber for Continue Watching. Filament sweep on buffering. Syne for titles.
47,Job Board/Recruitment,composition,"HeroPane,DataTable,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + DataTable + ServiceList + TeamGrid + ContactForm,no job-board template look;no salary rainbow colors;no LinkedIn-blue copy,IBM Plex Mono for salary/location data. Amber on Apply CTA. Dark editorial layout.
48,Marketplace (P2P),color-as-information,"HeroPane,ProductGrid,DataTable,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-surface-1,--color-surface-2",HeroPane + ProductGrid + DataTable + StatsCard,no consumer marketplace look;no rainbow categories;no auction countdown excess,"Color = listing status. Green=available, amber=featured, red=ending soon. IBM Plex Mono prices."
49,Logistics/Delivery,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",KPIStrip + DataTable + ActivityFeed + StatsCard,no consumer-delivery clichés;no slow map updates;no decorative truck icons,Color = shipment status. IBM Plex Mono for tracking IDs. Amber for exceptions. Real-time feeds.
50,Agriculture/Farm Tech,color-as-information,"KPIStrip,DataTable,ActivityFeed,StatsCard,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono",KPIStrip + DataTable + ActivityFeed + StatsCard,no green earthy clichés;no decorative crop icons;no consumer agtech look,IBM Plex Mono for sensor readings. Color = crop health status. Amber for irrigation alerts.
51,Construction/Architecture,composition,"AuthorityHero,StatsCard,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",AuthorityHero + ServiceList + StatsCard + TeamGrid + ContactForm,no blueprint-clichés;no garish safety orange overload;no template builder look,Dark editorial. Syne for project names. IBM Plex Mono for dimensions/timelines.
52,Automotive/Car Dealership,restraint,"AuthorityHero,StatsCard,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + StatsCard + TestimonialRail + ContactForm,no red dealership palette;no busy vehicle carousels;no stock photo clichés,Dark premium. Syne for model names. IBM Plex Mono for specs/price. One amber CTA.
53,Photography Studio,typography,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no watermark-heavy portfolio;no carousel overload;no white template feel,Dark editorial let photos speak. Syne for studio name/packages. Amber on Book Session CTA.
54,Coworking Space,composition,"HeroPane,ServiceList,StatsCard,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",HeroPane + ServiceList + StatsCard + TeamGrid + ContactForm,no startup-cliché beanbags;no WeWork palette copy;no generic floor plan graphic,Community dark. Syne for space names. IBM Plex Mono for desk counts/pricing. Amber on Tour CTA.
55,Home Services (Plumber/Electrician),composition,"HeroPane,ServiceList,StatsCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + StatsCard + TestimonialRail + ContactForm,no tradesman-clichés;no blue/yellow contractor palette;no fake 5-star spam,Trust-first dark. Syne for service names. Amber on Call Now CTA. StatsCard shows response time.
56,Childcare/Daycare,restraint,"HeroPane,ServiceList,TeamGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TeamGrid + TestimonialRail + ContactForm,no primary color overload;no cartoon icons;no juvenile typography,Calm dark. Syne for center name. Professional tone. Amber on Enroll CTA. TeamGrid for staff.
57,Senior Care/Elderly,restraint,"HeroPane,ServiceList,TeamGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TeamGrid + TestimonialRail + ContactForm,no inaccessible small text;no complex interactions;no dark pattern CTAs,High contrast dark. WCAG AAA. Syne large for service names. Amber on Contact CTA.
58,Medical Clinic,restraint,"AuthorityHero,ServiceList,TeamGrid,StatsCard,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TeamGrid + StatsCard + ContactForm,no clinical white clichés on dark;no Red Cross aesthetic copies;no alarming palette,Authority dark. Syne for specialty names. IBM Plex Mono for appointment data. Amber on Book CTA.
59,Pharmacy/Drug Store,color-as-information,"HeroPane,ServiceList,DataTable,StatsCard,ContactForm","--color-bg,--color-accent,--color-success,--color-warning,--color-surface-1,--font-mono",HeroPane + ServiceList + DataTable + StatsCard,no green pharmacy clichés;no red/white RX overload;no consumer retail look,IBM Plex Mono for drug codes/prices. Amber for low-stock alerts. Clean inventory grid.
60,Dental Practice,restraint,"AuthorityHero,ServiceList,TeamGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TeamGrid + TestimonialRail + ContactForm,no blue dental clichés;no tooth icon overload;no medical stock photos,Clean dark authority. Syne for procedure names. Amber on Book Appointment CTA.
61,Veterinary Clinic,restraint,"HeroPane,ServiceList,TeamGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TeamGrid + TestimonialRail + ContactForm,no cartoon pet icons;no soft-white clinical look;no paw-print decoration excess,Warm dark editorial. Syne for service names. Amber on Book CTA. TeamGrid for vets.
62,Florist/Plant Shop,typography,"HeroPane,ProductGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ProductGrid + TestimonialRail + ContactForm,no pastel floral clichés;no pink/green consumer palette;no busy product thumbnails,Dark editorial. Syne for arrangement names. Amber on Shop Now CTA. Minimal product grid.
63,Bakery/Cafe,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no warm beige clichés;no coffee-brown palette;no chalkboard fonts,Dark editorial with amber warmth. Syne for menu items. Restrained layout. One Book/Order CTA.
64,Brewery/Winery,typography,"HeroPane,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TestimonialRail + ContactForm,no rustic wood texture clichés;no serif-heavy wine labels;no gold excess,Dark editorial. Syne for product names at display scale. Amber used as brand warmth.
65,Airline,color-as-information,"HeroPane,KPIStrip,DataTable,ActivityFeed,NavBar","--color-bg,--color-accent,--color-success,--color-danger,--color-warning,--font-mono,--color-surface-2",HeroPane + KPIStrip + DataTable + ActivityFeed,no blue airline clichés;no generic plane iconography;no consumer booking template look,IBM Plex Mono for flight codes/times. Color = flight status. Amber for gate changes.
66,News/Media Platform,typography,"HeroPane,ActivityFeed,ServiceList,KPIStrip,NavBar","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ActivityFeed + ServiceList + KPIStrip,no red breaking-news clichés;no busy sidebar ads;no tabloid feel,Editorial dark. Syne for headlines at display scale. Amber for breaking/featured stories.
67,Magazine/Blog,typography,"AuthorityHero,ActivityFeed,ServiceList,TestimonialRail,NavBar","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ActivityFeed + ServiceList + TestimonialRail,no ad-heavy layout;no generic blog template;no light-mode-forced look,Editorial dark. Syne for article titles. Amber for featured/editor's pick markers.
68,Freelancer Platform,composition,"HeroPane,DataTable,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + DataTable + ServiceList + TeamGrid + ContactForm,no Fiverr/Upwork template copy;no rating-badge overload;no consumer marketplace look,IBM Plex Mono for rates/timelines. Syne for skill categories. Amber on Hire/Apply CTA.
69,Marketing Agency,composition,"AuthorityHero,KPIStrip,ServiceList,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",AuthorityHero + ServiceList + KPIStrip + TeamGrid + ContactForm,no agency-template clones;no rainbow service icons;no equal-weight service cards,Authority composition. Syne for service names. IBM Plex Mono for campaign metrics.
70,Event Management,composition,"HeroPane,ServiceList,KPIStrip,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text",HeroPane + ServiceList + KPIStrip + TestimonialRail + ContactForm,no consumer-event template;no rainbow event categories;no busy RSVP forms,Dark editorial. Syne for event names. IBM Plex Mono for ticket counts/dates.
71,Membership/Community,motion,"HeroPane,ActivityFeed,KPIStrip,TeamGrid,ContactForm","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--color-text-muted",HeroPane + ActivityFeed + KPIStrip + TeamGrid,no forum clichés;no membership-badge overload;no busy feed with rainbow tags,Breathing border on active members. Filament sweep on live activity. Amber for new members.
72,Newsletter Platform,typography,"HeroPane,ServiceList,StatsCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + StatsCard + TestimonialRail + ContactForm,no generic subscribe page;no confetti on signup;no overpromised open rate claims,Editorial dark. Syne for newsletter name. IBM Plex Mono for subscriber counts.
73,Digital Products/Downloads,color-as-information,"HeroPane,ProductGrid,PricingCard,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-success,--color-surface-1,--color-surface-2,--font-display",HeroPane + ProductGrid + PricingCard + TestimonialRail,no rainbow product badges;no generic e-commerce feel;no busy promo banners,Dark editorial. Color = product type signals. Amber on Download CTA.
74,Church/Religious Organization,restraint,"HeroPane,ServiceList,TeamGrid,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + TeamGrid + TestimonialRail + ContactForm,no stained-glass clichés;no heavy gold palette;no inaccessible contrast,Calm dark. Syne for service names. Amber used with reverence. Minimal and dignified.
75,Sports Team/Club,motion,"HeroPane,KPIStrip,StatsCard,ActivityFeed,NavBar","--color-bg,--color-accent,--color-surface-1,--color-surface-2,--font-display,--font-mono",HeroPane + KPIStrip + StatsCard + ActivityFeed,no multiple team colors competing;no generic sports template;no slow stat updates,Dark OLED. IBM Plex Mono for match stats. Amber for live match states. Filament sweep on live.
76,Museum/Gallery,typography,"AuthorityHero,ServiceList,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",AuthorityHero + ServiceList + TestimonialRail + ContactForm,no cluttered exhibition layout;no generic museum template;no serif overload,Dark editorial. Syne for exhibition titles. Amber on Tickets CTA. Minimal layout for art.
77,Theater/Cinema,typography,"HeroPane,ServiceList,ActivityFeed,TestimonialRail,ContactForm","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ActivityFeed + ServiceList + TestimonialRail,no red-velvet clichés;no star-rating overload;no multiplex-website template,Dark editorial drama. Syne for show titles at display scale. Amber on Book Tickets CTA.
78,Language Learning App,typography,"HeroPane,ServiceList,KPIStrip,TestimonialRail,PricingCard","--color-bg,--color-accent,--color-surface-1,--font-display,--color-text,--color-text-muted",HeroPane + ServiceList + KPIStrip + TestimonialRail + PricingCard,no rainbow language flags;no gamification overload;no childish streak counter,Dark editorial. Syne for language names. IBM Plex Mono for streak/progress data. Amber on CTA.
